tag_count,send_probability,slot_size,slot_count,success_count,collision_count,idle_slot_count,total_attempts,throughput,channel_utilization,offered_load
10,0.03,0.01,10000,2268,340,7392,2979,0.2268,0.2268,0.2979
15,0.03,0.01,10000,2954,691,6355,4446,0.2954,0.2954,0.4446
20,0.03,0.01,10000,3448,1151,5401,5996,0.3448,0.34480000000000005,0.5996
25,0.03,0.01,10000,3675,1679,4646,7470,0.3675,0.3675,0.747
30,0.03,0.01,10000,3691,2243,4066,8899,0.3691,0.36910000000000004,0.8899
40,0.03,0.01,10000,3678,3327,2995,11864,0.3678,0.3678,1.1864
50,0.03,0.01,10000,3418,4372,2210,14880,0.3418,0.3418,1.488
75,0.03,0.01,10000,2411,6573,1016,22323,0.2411,0.24109999999999998,2.2323
100,0.03,0.01,10000,1557,7988,455,29891,0.1557,0.1557,2.9891
125,0.03,0.01,10000,871,8900,229,37378,0.0871,0.08710000000000001,3.7378
150,0.03,0.01,10000,486,9409,105,44840,0.0486,0.048600000000000004,4.484
200,0.03,0.01,10000,143,9835,22,59916,0.0143,0.0143,5.9916
250,0.03,0.01,10000,41,9956,3,74872,0.0041,0.0041,7.4872
300,0.03,0.01,10000,9,9990,1,89817,0.0009,0.0009,8.9817
